Price,Close,High,Low,Open,Volume
Ticker,HG=F,HG=F,HG=F,HG=F,HG=F
Date,,,,,
2025-06-02,4.834499835968018,4.917500019073486,4.821499824523926,4.854499816894531,679
2025-06-03,4.809500217437744,4.839000225067139,4.764999866485596,4.822500228881836,1484
2025-06-04,4.864500045776367,4.879499912261963,4.829999923706055,4.8394999504089355,940
2025-06-05,4.91349983215332,5.035999774932861,4.880000114440918,4.880000114440918,541
2025-06-06,4.829999923706055,4.920000076293945,4.814499855041504,4.890999794006348,458
2025-06-09,4.9095001220703125,4.913000106811523,4.8470001220703125,4.8470001220703125,487
2025-06-10,4.883999824523926,4.908999919891357,4.863999843597412,4.863999843597412,342
2025-06-11,4.801000118255615,4.832499980926514,4.79449987411499,4.820000171661377,537
2025-06-12,4.821499824523926,4.822999954223633,4.791999816894531,4.791999816894531,447
2025-06-13,4.802999973297119,4.821499824523926,4.735499858856201,4.821499824523926,698
2025-06-16,4.826499938964844,4.829500198364258,4.794000148773193,4.794000148773193,649
2025-06-17,4.80049991607666,4.806000232696533,4.770999908447266,4.806000232696533,700
2025-06-18,4.84499979019165,4.84499979019165,4.815499782562256,4.83650016784668,0
2025-06-20,4.826000213623047,4.830999851226807,4.75,4.830999851226807,854
2025-06-23,4.8429999351501465,4.9079999923706055,4.816500186920166,4.81850004196167,819
2025-06-24,4.867000102996826,4.868500232696533,4.863500118255615,4.863500118255615,506
2025-06-25,4.913000106811523,4.913000106811523,4.889999866485596,4.890500068664551,708
2025-06-26,5.065499782562256,5.073500156402588,5.042500019073486,5.04449987411499,17008
2025-06-27,5.06850004196167,5.086999893188477,4.976500034332275,5.053500175476074,4809
2025-06-30,5.03000020980835,5.076000213623047,5.01200008392334,5.070499897003174,1194
2025-07-01,5.047999858856201,5.122000217437744,5.031499862670898,5.031499862670898,1003
2025-07-02,5.14900016784668,5.161499977111816,5.034999847412109,5.046500205993652,792
2025-07-03,5.0970001220703125,5.1519999504089355,5.084499835968018,5.1519999504089355,0
2025-07-04,5.018499851226807,5.084499835968018,5.0,5.084499835968018,0
2025-07-07,4.984499931335449,5.002999782562256,4.956500053405762,5.002999782562256,718
2025-07-08,5.644999980926514,5.644999980926514,4.94950008392334,4.9679999351501465,922
2025-07-09,5.44350004196167,5.682000160217285,5.397500038146973,5.4670000076293945,857
2025-07-10,5.547999858856201,5.5929999351501465,5.543499946594238,5.579999923706055,756
2025-07-11,5.561999797821045,5.585000038146973,5.449999809265137,5.585000038146973,1082
2025-07-14,5.514999866485596,5.514999866485596,5.44950008392334,5.47599983215332,1093
2025-07-15,5.546000003814697,5.546000003814697,5.482999801635742,5.486000061035156,1621
2025-07-16,5.496500015258789,5.513999938964844,5.445000171661377,5.489999771118164,1152
2025-07-17,5.486000061035156,5.490499973297119,5.456999778747559,5.4679999351501465,866
2025-07-18,5.578000068664551,5.578999996185303,5.488999843597412,5.488999843597412,521
2025-07-21,5.610499858856201,5.617000102996826,5.55049991607666,5.55049991607666,583
